HEX,NAME
200003E8,Crimson Amber Medallion
200003E9,Crimson Amber Medallion +1
200003EA,Crimson Amber Medallion +2
200003F2,Cerulean Amber Medallion
200003F3,Cerulean Amber Medallion +1
200003F4,Cerulean Amber Medallion +2
200003FC,Viridian Amber Medallion
200003FD,Viridian Amber Medallion +1
200003FE,Viridian Amber Medallion +2
20000406,Arsenal Charm
20000407,Arsenal Charm +1
20000408,Great-Jar's Arsenal
20000410,Erdtree's Favor
20000411,Erdtree's Favor +1
20000412,Erdtree's Favor +2
2000041A,Radagon's Scarseal
2000041B,Radagon's Soreseal
20000424,Starscourge Heirloom
2000042E,Prosthesis-Wearer Heirloom
20000438,Stargazer Heirloom
20000442,Two Fingers Heirloom
2000044C,Silver Scarab
20000456,Gold Scarab
20000474,Moon of Nokstella
2000047E,Green Turtle Talisman
20000488,Stalwart Horn Charm
20000489,Stalwart Horn Charm +1
20000492,Immunizing Horn Charm
20000493,Immunizing Horn Charm +1
2000049C,Clarifying Horn Charm
2000049D,Clarifying Horn Charm +1
200004A6,Prince of Death's Pustule
200004A7,Prince of Death's Cyst
200004B0,Mottled Necklace
200004B1,Mottled Necklace +1
200004BA,Bull-Goat's Talisman
200004C4,Marika's Scarseal
200004C5,Marika's Soreseal
200004CE,Warrior Jar Shard
200004CF,Shard of Alexander
200004E2,Millicent's Prosthesis
200007D0,Magic Scorpion Charm
200007DA,Lightning Scorpion Charm
200007E4,Fire Scorpion Charm
200007EE,Sacred Scorpion Charm
200007F8,Red-Feathered Branchsword
20000802,Ritual Sword Talisman
2000080C,Spear Talisman
20000816,Hammer Talisman
20000820,Winged Sword Insignia
20000821,Rotten Winged Sword Insignia
2000082A,Dagger Talisman
20000834,Arrow's Reach Talisman
2000083E,Blue Dancer Charm
20000848,Twinblade Talisman
20000852,Axe Talisman
2000085C,Lance Talisman
20000866,Arrow's Sting Talisman
20000870,Lord of Blood's Exultation
2000087A,Kindred of Rot's Exultation
20000884,Claw Talisman
2000088E,Roar Medallion
20000898,Curved Sword Talisman
200008A2,Companion Jar
200008AC,Perfumer's Talisman
20000BB8,Graven-School Talisman
20000BB9,Graven-Mass Talisman
20000BE0,Faithful's Canvas Talisman
20000BEA,Flock's Canvas Talisman
20000BF4,Old Lord's Talisman
20000BFE,Radagon Icon
20000C08,Primal Glintstone Blade
20000C12,Godfrey Icon
20000FA0,Dragoncrest Shield Talisman
20000FA1,Dragoncrest Shield Talisman +1
20000FA2,Dragoncrest Shield Talisman +2
20000FA3,Dragoncrest Greatshield Talisman
20000FAA,Spelldrake Talisman
20000FAB,Spelldrake Talisman +1
20000FAC,Spelldrake Talisman +2
20000FB4,Flamedrake Talisman
20000FB5,Flamedrake Talisman +1
20000FB6,Flamedrake Talisman +2
20000FBE,Boltdrake Talisman
20000FBF,Boltdrake Talisman +1
20000FC0,Boltdrake Talisman +2
20000FC8,Haligdrake Talisman
20000FC9,Haligdrake Talisman +1
20000FCA,Haligdrake Talisman +2
20000FD2,Pearldrake Talisman
20000FD3,Pearldrake Talisman +1
20000FD4,Pearldrake Talisman +2
20000FDC,Crucible Scale Talisman
20000FE6,Crucible Feather Talisman
20000FF0,Blue-Feathered Branchsword
20000FFA,Ritual Shield Talisman
20001004,Greatshield Talisman
2000100E,Crucible Knot Talisman
20001388,Crimson Seed Talisman
20001392,Cerulean Seed Talisman
2000139C,Blessed Dew Talisman
200013A6,Taker's Cameo
200013B0,Godskin Swaddling Cloth
200013BA,Assassin's Crimson Dagger
200013C4,Assassin's Cerulean Dagger
20001770,Crepus's Vial
2000177A,Concealing Veil
20001784,Carian Filigreed Crest
20001798,Longtail Cat Talisman
200017A2,Shabriri's Woe
200017AC,Daedicar's Woe
200017B6,Sacrificial Twig
200017C0,Furled Finger's Trick-Mirror
200017CA,Host's Trick-Mirror
200017D4,Entwining Umbilical Cord
200017DE,Ancestral Spirit's Horn
