HEX,NAME
10009C40,Iron Helmet
10009CA4,Scale Armor
10009D08,Iron Gauntlets
10009D6C,Leather Trousers
1000C350,Kaiden Helm
1000C3B4,Kaiden Armor
1000C418,Kaiden Gauntlets
1000C47C,Kaiden Trousers
1000EA60,Drake Knight Helm
1000EAC4,Drake Knight Armor
1000EB28,Drake Knight Gauntlets
1000EB8C,Drake Knight Greaves
1000EE48,Drake Knight Helm (Altered)
1000EEAC,Drake Knight Armor (Altered)
10013880,Scaled Helm
100138E4,Scaled Armor
10013948,Scaled Gauntlets
100139AC,Scaled Greaves
10013CCC,Scaled Armor (Altered)
10015F90,Perfumer Hood
10015FF4,Perfumer Robe
10016058,Perfumer Gloves
100160BC,Perfumer Sarong
100163DC,Perfumer Robe (Altered)
100186A0,Traveler's Hat
10018704,Perfumer's Traveling Garb
10018768,Traveler's Gloves
100187CC,Traveler's Slops
10018AEC,Perfumer's Traveling Garb (Altered)
1001D4C0,Alberich's Pointed Hat
1001D524,Alberich's Robe
1001D588,Alberich's Bracers
1001D5EC,Alberich's Trousers
1001D8A8,Alberich's Pointed Hat (Altered)
1001D90C,Alberich's Robe (Altered)
1001FBD0,Spellblade's Pointed Hat
1001FC34,Spellblade's Traveling Attire
1001FC98,Spellblade's Gloves
1001FCFC,Spellblade's Trousers
1002001C,Spellblade's Traveling Attire (Altered)
100222E0,Bull-Goat Helm
10022344,Bull-Goat Armor
100223A8,Bull-Goat Gauntlets
1002240C,Bull-Goat Greaves
100249F0,Iron Kasa
10024A54,Ronin's Armor
10024AB8,Ronin's Gauntlets
10024B1C,Ronin's Greaves
10024E3C,Ronin's Armor (Altered)
10027100,Guilty Hood
10027164,Cloth Garb
1002722C,Cloth Trousers
10029810,Black Wolf Mask
10029874,Blaidd's Armor
100298D8,Blaidd's Gauntlets
1002993C,Blaidd's Greaves
10029C5C,Blaidd's Armor (Altered)
1002BF20,Black Knife Hood
1002BF84,Black Knife Armor
1002BFE8,Black Knife Gauntlets
1002C04C,Black Knife Greaves
1002C36C,Black Knife Armor (Altered)
1002E630,Exile Hood
1002E694,Exile Armor
1002E6F8,Exile Gauntlets
1002E75C,Exile Greaves
10030D40,Banished Knight Helm
10030DA4,Banished Knight Armor
10030E08,Banished Knight Gauntlets
10030E6C,Banished Knight Greaves
10031128,Banished Knight Helm (Altered)
1003118C,Banished Knight Armor (Altered)
10033450,Briar Helm
100334B4,Briar Armor
10033518,Briar Gauntlets
1003357C,Briar Greaves
1003389C,Briar Armor (Altered)
10035B60,Page Hood
10035BC4,Page Garb
10035C8C,Page Trousers
10035FAC,Page Garb (Altered)
10038270,Night's Cavalry Helm
100382D4,Night's Cavalry Armor
10038338,Night's Cavalry Gauntlets
1003839C,Night's Cavalry Greaves
10038658,Night's Cavalry Helm (Altered)
100386BC,Night's Cavalry Armor (Altered)
1003A980,Blue Silver Mail Hood
1003A9E4,Blue Silver Mail Armor
1003AA48,Blue Silver Bracelets
1003AAAC,Blue Silver Mail Skirt
1003ADCC,Blue Silver Mail Armor (Altered)
1003D090,Nomadic Merchant's Chapeau
1003D0F4,Nomadic Merchant's Finery
1003D1BC,Nomadic Merchant's Trousers
1003D4DC,Nomadic Merchant's Finery (Altered)
1003F7A0,Malformed Dragon Helm
1003F804,Malformed Dragon Armor
1003F868,Malformed Dragon Gauntlets
1003F8CC,Malformed Dragon Greaves
10041EB0,Tree Sentinel Helm
10041F14,Tree Sentinel Armor
10041F78,Tree Sentinel Gauntlets
10041FDC,Tree Sentinel Greaves
100422FC,Tree Sentinel Armor (Altered)
100445C0,Royal Knight Helm
10044624,Royal Knight Armor
10044688,Royal Knight Gauntlets
100446EC,Royal Knight Greaves
10044A0C,Royal Knight Armor (Altered)
10046CD0,Nox Monk Hood
10046D34,Nox Monk Armor
10046D98,Nox Monk Bracelets
10046DFC,Nox Monk Greaves
100470B8,Nox Monk Hood (Altered)
1004711C,Nox Monk Armor (Altered)
100474A0,Nox Swordstress Crown
10047504,Nox Swordstress Armor
10047888,Night Maiden Twin Crown
100478EC,Night Maiden Armor
10047C70,Nox Swordstress Crown (Altered)
10047CD4,Nox Swordstress Armor (Altered)
100493E0,Great Horned Headband
10049444,Fur Raiment
1004950C,Fur Leggings
100497C8,Shining Horned Headband
1004982C,Shaman Furs
100498F4,Shaman Leggings
1004BAF0,Duelist Helm
1004BB54,Gravekeeper Cloak
1004BC1C,Duelist Greaves
1004BF3C,Gravekeeper Cloak (Altered)
1004E200,Sanguine Noble Hood
1004E264,Sanguine Noble Robe
1004E32C,Sanguine Noble Waistcloth
10050910,Guardian Mask
10050974,Guardian Garb (Full Bloom)
100509D8,Guardian Bracers
10050A3C,Guardian Greaves
10050D5C,Guardian Garb
10053020,Cleanrot Helm
10053084,Cleanrot Armor
100530E8,Cleanrot Gauntlets
1005314C,Cleanrot Greaves
10053408,Cleanrot Helm (Altered)
1005346C,Cleanrot Armor (Altered)
10055730,Fire Monk Hood
10055794,Fire Monk Armor
100557F8,Fire Monk Gauntlets
1005585C,Fire Monk Greaves
10055B18,Blackflame Monk Hood
10055B7C,Blackflame Monk Armor
10055BE0,Blackflame Monk Gauntlets
10055C44,Blackflame Monk Greaves
10057E40,Fire Prelate Helm
10057EA4,Fire Prelate Armor
10057F08,Fire Prelate Gauntlets
10057F6C,Fire Prelate Greaves
1005828C,Fire Prelate Armor (Altered)
1005A550,Aristocrat Headband
1005A5B4,Aristocrat Garb
1005A67C,Aristocrat Boots
1005A99C,Aristocrat Garb (Altered)
1005CC60,Aristocrat Hat
1005CCC4,Aristocrat Coat
1005F370,Old Aristocrat Cowl
1005F3D4,Old Aristocrat Gown
1005F49C,Old Aristocrat Shoes
100668A0,Vulgar Militia Helm
10066904,Vulgar Militia Armor
10066968,Vulgar Militia Gauntlets
100669CC,Vulgar Militia Greaves
10068FB0,Sage Hood
10069014,Sage Robe
100690DC,Sage Trousers
1006B6C0,Pumpkin Helm
100704E0,Elden Lord Crown
10070544,Elden Lord Armor
100705A8,Elden Lord Bracers
1007060C,Elden Lord Greaves
1007092C,Elden Lord Armor (Altered)
10072BF0,Radahn's Redmane Helm
10072C54,Radahn's Lion Armor
10072CB8,Radahn's Gauntlets
10072D1C,Radahn's Greaves
1007303C,Radahn's Lion Armor (Altered)
10075364,Lord of Blood's Robe
1007574C,Lord of Blood's Robe (Altered)
1007C830,Queen's Crescent Crown
1007C894,Queen's Robe
1007C8F8,Queen's Bracelets
1007C95C,Queen's Leggings
1007EF40,Godskin Apostle Hood
1007EFA4,Godskin Apostle Robe
1007F008,Godskin Apostle Bracelets
1007F06C,Godskin Apostle Trousers
10081650,Godskin Noble Hood
100816B4,Godskin Noble Robe
10081718,Godskin Noble Bracelets
1008177C,Godskin Noble Trousers
10083D60,Depraved Perfumer Headscarf
10083DC4,Depraved Perfumer Robe
10083E28,Depraved Perfumer Gloves
