HEX,NAME
40030D40,Black Knife Tiche
40030D41,Black Knife Tiche +1
40030D42,Black Knife Tiche +2
40030D43,Black Knife Tiche +3
40030D44,Black Knife Tiche +4
40030D45,Black Knife Tiche +5
40030D46,Black Knife Tiche +6
40030D47,Black Knife Tiche +7
40030D48,Black Knife Tiche +8
40030D49,Black Knife Tiche +9
40030D4A,Black Knife Tiche +10
40031128,Banished Knight Oleg
40031129,Banished Knight Oleg +1
4003112A,Banished Knight Oleg +2
4003112B,Banished Knight Oleg +3
4003112C,Banished Knight Oleg +4
4003112D,Banished Knight Oleg +5
4003112E,Banished Knight Oleg +6
4003112F,Banished Knight Oleg +7
40031130,Banished Knight Oleg +8
40031131,Banished Knight Oleg +9
40031132,Banished Knight Oleg +10
40031510,Banished Knight Engvall
40031511,Banished Knight Engvall +1
40031512,Banished Knight Engvall +2
40031513,Banished Knight Engvall +3
40031514,Banished Knight Engvall +4
40031515,Banished Knight Engvall +5
40031516,Banished Knight Engvall +6
40031517,Banished Knight Engvall +7
40031518,Banished Knight Engvall +8
40031519,Banished Knight Engvall +9
4003151A,Banished Knight Engvall +10
400318F8,Fanged Imp Ashes
400318F9,Fanged Imp Ashes +1
400318FA,Fanged Imp Ashes +2
400318FB,Fanged Imp Ashes +3
400318FC,Fanged Imp Ashes +4
400318FD,Fanged Imp Ashes +5
400318FE,Fanged Imp Ashes +6
400318FF,Fanged Imp Ashes +7
40031900,Fanged Imp Ashes +8
40031901,Fanged Imp Ashes +9
40031902,Fanged Imp Ashes +10
40031CE0,Latenna the Albinauric
40031CE1,Latenna the Albinauric +1
40031CE2,Latenna the Albinauric +2
40031CE3,Latenna the Albinauric +3
40031CE4,Latenna the Albinauric +4
40031CE5,Latenna the Albinauric +5
40031CE6,Latenna the Albinauric +6
40031CE7,Latenna the Albinauric +7
40031CE8,Latenna the Albinauric +8
40031CE9,Latenna the Albinauric +9
40031CEA,Latenna the Albinauric +10
400320C8,Nomad Ashes
400320C9,Nomad Ashes +1
400320CA,Nomad Ashes +2
400320CB,Nomad Ashes +3
400320CC,Nomad Ashes +4
400320CD,Nomad Ashes +5
400320CE,Nomad Ashes +6
400320CF,Nomad Ashes +7
400320D0,Nomad Ashes +8
400320D1,Nomad Ashes +9
400320D2,Nomad Ashes +10
400324B0,Nightmaiden & Swordstress Puppets
400324B1,Nightmaiden & Swordstress Puppets +1
400324B2,Nightmaiden & Swordstress Puppets +2
400324B3,Nightmaiden & Swordstress Puppets +3
400324B4,Nightmaiden & Swordstress Puppets +4
400324B5,Nightmaiden & Swordstress Puppets +5
400324B6,Nightmaiden & Swordstress Puppets +6
400324B7,Nightmaiden & Swordstress Puppets +7
400324B8,Nightmaiden & Swordstress Puppets +8
400324B9,Nightmaiden & Swordstress Puppets +9
400324BA,Nightmaiden & Swordstress Puppets +10
40032898,Mimic Tear Ashes
40032899,Mimic Tear Ashes +1
4003289A,Mimic Tear Ashes +2
4003289B,Mimic Tear Ashes +3
4003289C,Mimic Tear Ashes +4
4003289D,Mimic Tear Ashes +5
4003289E,Mimic Tear Ashes +6
4003289F,Mimic Tear Ashes +7
400328A0,Mimic Tear Ashes +8
400328A1,Mimic Tear Ashes +9
400328A2,Mimic Tear Ashes +10
40032C80,Crystalian Ashes
40032C81,Crystalian Ashes +1
40032C82,Crystalian Ashes +2
40032C83,Crystalian Ashes +3
40032C84,Crystalian Ashes +4
