HEX,NAME
80002710,Ash of War: Lion's Claw
80002774,Ash of War: Impaling Thrust
800027D8,Ash of War: Piercing Fang
8000283C,Ash of War: Spinning Slash
80002904,Ash of War: Charge Forth
80002968,Ash of War: Stamp (Upward Cut)
800029CC,Ash of War: Stamp (Sweep)
80002A30,Ash of War: Blood Tax
80002A94,Ash of War: Repeating Thrust
80002AF8,Ash of War: Wild Strikes
80002B5C,Ash of War: Spinning Strikes
80002BC0,Ash of War: Double Slash
80002C24,Ash of War: Prelate's Charge
80002C88,Ash of War: Unsheathe
80002CEC,Ash of War: Square Off
80002D50,Ash of War: Giant Hunt
80002E18,Ash of War: Loretta's Slash
80002E7C,Ash of War: Poison Moth Flight
80002EE0,Ash of War: Spinning Weapon
80002FA8,Ash of War: Storm Assault
8000300C,Ash of War: Stormcaller
80003070,Ash of War: Sword Dance
80004E20,Ash of War: Glintblade Phalanx
80004E84,Ash of War: Sacred Blade
80004EE8,Ash of War: Ice Spear
80004F4C,Ash of War: Glintstone Pebble
80004FB0,Ash of War: Bloody Slash
80005014,Ash of War: Lifesteal Fist
800050DC,Ash of War: Eruption
80005140,Ash of War: Prayerful Strike
800051A4,Ash of War: Gravitas
80005208,Ash of War: Storm Blade
800052D0,Ash of War: Earthshaker
80005334,Ash of War: Golden Land
80005398,Ash of War: Flaming Strike
80005460,Ash of War: Thunderbolt
800054C4,Ash of War: Lightning Slash
80005528,Ash of War: Carian Grandeur
8000558C,Ash of War: Carian Greatsword
800055F0,Ash of War: Vacuum Slice
80005654,Ash of War: Black Flame Tornado
800056B8,Ash of War: Sacred Ring of Light
80005780,Ash of War: Blood Blade
800057E4,Ash of War: Phantom Slash
80005848,Ash of War: Spectral Lance
800058AC,Ash of War: Chilling Mist
80005910,Ash of War: Poisonous Mist
80007530,Ash of War: Shield Bash
80007594,Ash of War: Barricade Shield
800075F8,Ash of War: Parry
80007724,Ash of War: Carian Retaliation
80007788,Ash of War: Storm Wall
800077EC,Ash of War: Golden Parry
80007850,Ash of War: Shield Crash
800078B4,Ash of War: No Skill
80007918,Ash of War: Thops's Barrier
80009C40,Ash of War: Through and Through
80009CA4,Ash of War: Barrage
80009D08,Ash of War: Mighty Shot
80009DD0,Ash of War: Enchanted Shot
80009E34,Ash of War: Sky Shot
80009E98,Ash of War: Rain of Arrows
8000C3B4,Ash of War: Hoarfrost Stomp
8000C418,Ash of War: Storm Stomp
8000C47C,Ash of War: Kick
8000C4E0,Ash of War: Lightning Ram
8000C544,Ash of War: Flame of the Redmanes
8000C5A8,Ash of War: Ground Slam
8000C60C,Ash of War: Golden Slam
8000C670,Ash of War: Waves of Darkness
8000C6D4,Ash of War: Hoarah Loux's Earthshaker
8000EA60,Ash of War: Determination
8000EAC4,Ash of War: Royal Knight's Resolve
8000EB28,Ash of War: Assassin's Gambit
8000EB8C,Ash of War: Golden Vow
8000EBF0,Ash of War: Sacred Order
8000EC54,Ash of War: Shared Order
8000ECB8,Ash of War: Seppuku
8000ED1C,Ash of War: Cragblade
8000FDE8,Ash of War: Barbaric Roar
8000FE4C,Ash of War: War Cry
8000FEB0,Ash of War: Beast's Roar
8000FF14,Ash of War: Troll's Roar
8000FF78,Ash of War: Braggart's Roar
80011170,Ash of War: Endure
800111D4,Ash of War: Vow of the Indomitable
80011238,Ash of War: Holy Ground
80013880,Ash of War: Quickstep
800138E4,Ash of War: Bloodhound's Step
80013948,Ash of War: Raptor of the Mists
80014C08,Ash of War: White Shadow's Lure
