HEX,NAME
40001770,Catch Flame
40001771,"O, Flame!"
4000177A,Flame Sling
40001784,"Flame, Fall Upon Them"
4000178E,"Whirl, O Flame!"
40001798,"Flame, Cleanse Me"
400017A2,"Flame, Grant Me Strength"
400017AC,"Flame, Protect Me"
400017D4,Giantsflame Take Thee
400017DE,Flame of the Fell God
400017E8,"Burn, O Flame!"
40001842,Black Flame
4000184C,"Surge, O Flame!"
40001856,Scouring Black Flame
40001860,Black Flame Ritual
4000186A,Black Flame Blade
40001874,Black Flame's Protection
4000187E,Noble Presence
4000189C,Bloodflame Talons
400018A6,Bloodboon
400018B0,Bloodflame Blade
400018BA,Barrier of Gold
400018C4,Protection of the Erdtree
40001900,Rejection
4000190A,Wrath of Gold
40001914,Urgent Heal
40001915,Heal
40001916,Great Heal
40001917,Lord's Heal
40001918,Erdtree Heal
4000191E,Blessing's Boon
4000191F,Blessing of the Erdtree
40001928,Cure Poison
40001929,Lord's Aid
40001932,Flame Fortification
4000193C,Magic Fortification
40001946,Lightning Fortification
40001950,Divine Fortification
4000195A,Lord's Divine Fortification
40001964,Night Maiden's Mist
4000196E,Assassin's Approach
40001978,Shadow Bait
40001982,Darkness
400019C8,Golden Vow
40001A2C,Discus of Light
40001A2D,Triple Rings of Light
40001A36,Radagon's Rings of Light
40001A40,Elden Stars
40001A4A,Law of Regression
40001A54,Immutable Shield
40001A5E,Litany of Proper Death
40001A68,Law of Causality
40001A72,Order's Blade
40001A7C,Order Healing
40001A90,Bestial Sling
40001A9A,Stone of Gurranq
40001AA4,Beast Claw
40001AAE,Gurranq's Beast Claw
40001AB8,Bestial Vitality
40001AC2,Bestial Constitution
40001AF4,Lightning Spear
40001AFE,Ancient Dragons' Lightning Strike
40001B08,Lightning Strike
40001B09,Frozen Lightning Spear
40001B12,Honed Bolt
40001B1C,Ancient Dragons' Lightning Spear
40001B1D,Fortissax's Lightning Spear
40001B26,Lansseax's Glaive
40001B30,Electrify Armament
40001B3A,Vyke's Dragonbolt
40001B3B,Dragonbolt Blessing
40001B58,Dragonfire
40001B59,Agheel's Flame
40001B62,Magma Breath
40001B63,Theodorix's Magma
40001B6C,Dragonice
40001B6D,Borealis's Mist
40001B76,Rotten Breath
40001B77,Ekzykes's Decay
40001B80,Glintstone Breath
40001B81,Smarag's Glintstone Breath
40001B8A,Placidusax's Ruin
40001B94,Dragonclaw
40001BA8,Dragonmaw
40001BB2,Greyoll's Roar
40001C20,Pest Threads
40001C2A,Swarm of Flies
40001C34,Poison Mist
40001C3E,Poison Armament
40001C48,Scarlet Aeonia
40001C84,Inescapable Frenzy
40001C8E,The Flame of Frenzy
40001C8F,Unendurable Frenzy
40001C98,Frenzied Burst
40001CA2,Howl of Shabriri
40001D4C,Aspects of the Crucible: Tail
40001D56,Aspects of the Crucible: Horns
40001D60,Aspects of the Crucible: Breath
40001D6A,Black Blade
40001EDC,Fire's Deadly Sin
40001EDF,Golden Lightning Fortification
