HEX,NAME
40000FA0,Glintstone Pebble
40000FA1,Great Glintstone Shard
40000FAA,Swift Glintstone Shard
40000FB4,Glintstone Cometshard
40000FB5,Comet
40000FBE,Shard Spiral
40000FC8,Glintstone Stars
40000FD2,Star Shower
40000FDC,Crystal Barrage
40000FE6,Glintstone Arc
40000FF0,Cannon of Haima
40000FFA,Crystal Burst
40001004,Shatter Earth
4000100E,Rock Blaster
40001018,Gavel of Haima
40001022,Terra Magicus
4000102C,Starlight
40001068,Comet Azur
40001072,Founding Rain of Stars
4000107C,Stars of Ruin
400010CC,Glintblade Phalanx
400010CD,Carian Phalanx
400010CE,Greatblade Phalanx
40001108,Rennala's Full Moon
40001109,Ranni's Dark Moon
40001112,Magic Downpour
4000111C,Loretta's Greatbow
4000111D,Loretta's Mastery
40001126,Magic Glintblade
40001130,Glintstone Icecrag
4000113A,Zamor Ice Storm
40001144,Freezing Mist
4000114E,Carian Greatsword
4000114F,Adula's Moonblade
40001158,Carian Slicer
40001162,Carian Piercer
4000116C,Scholar's Armament
40001176,Scholar's Shield
40001180,Lucidity
4000118A,Frozen Armament
40001194,Shattering Crystal
4000119E,Crystal Release
400011A8,Crystal Torrent
400011F8,Ambush Shard
40001202,Night Shard
4000120C,Night Comet
40001216,Thops's Barrier
40001220,Carian Retaliation
4000122A,Eternal Darkness
40001234,Unseen Blade
4000123E,Unseen Form
4000125C,Meteorite
4000125D,Meteorite of Astel
40001266,Rock Sling
40001270,Gravity Well
40001271,Collapsing Stars
400012C0,Magma Shot
400012CA,Gelmir's Fury
400012D4,Roiling Magma
400012DE,Rykard's Rancor
40001324,Briars of Sin
4000132E,Briars of Punishment
40001388,Rancorcall
40001389,Ancient Death Rancor
40001392,Explosive Ghostflame
4000139C,Fia's Mist
400013A6,Tibia's Summons
400013B0,Death Lightning
400013EC,Oracle Bubbles
400013F6,Great Oracular Bubble
