HEX,NAME
0001ADB0,Unarmed
000F4240,Dagger
000F6950,Black Knife
000F9060,Parrying Dagger
000FB770,Miséricorde
000FDE80,Reduvia
00100590,Crystal Knife
00102CA0,Celebrant's Sickle
001053B0,Glintstone Kris
00107AC0,Scorpion's Stinger
0010A1D0,Great Knife
0010C8E0,Wakizashi
0010EFF0,Cinquedea
00113E10,Ivory Sickle
00116520,Bloodstained Dagger
00118C30,Erdsteel Dagger
0011B340,Blade of Calling
001E8480,Longsword
001E88CC,Bloody Longsword
001EAB90,Short Sword
001ED2A0,Broadsword
001F20C0,Lordsworn's Straight Sword
001F47D0,Weathered Straight Sword
001F6EE0,Ornamental Straight Sword
001F95F0,Golden Epitaph
001FBD00,Nox Flowing Sword
001FE410,Inseparable Sword
00203230,Coded Sword
0020A760,Sword of Night and Flame
0020CE70,Crystal Sword
002143A0,Carian Knight's Sword
00216AB0,Sword of St. Trina
002191C0,Miquellan Knight's Sword
0021B8D0,Cane Sword
0021DFE0,Regalia of Eochaid
002206F0,Noble's Slender Sword
00222E00,Warhawk's Talon
00225510,Lazuli Glintstone Sword
00227C20,Rotten Crystal Sword
002DC6C0,Bastard Sword
002DCB0C,Bloody Bastard Sword
002DEDD0,Forked Greatsword
002E14E0,Iron Greatsword
002E3BF0,Lordsworn's Greatsword
002E6300,Knight's Greatsword
002E8A10,Flamberge
002EB120,Ordovis's Greatsword
002ED830,Alabaster Lord's Sword
002EFF40,Banished Knight's Greatsword
002F2650,Dark Moon Greatsword
002FC290,Helphen's Steeple
002FE9A0,Blasphemous Blade
003010B0,Marais Executioner's Sword
003037C0,Sword of Milos
00305ED0,Golden Order Greatsword
003085E0,Claymore
0030ACF0,Gargoyle's Greatsword
0030D400,Death's Poker
0030FB10,Gargoyle's Blackblade
003D0900,Greatsword
003D3010,Watchdog's Greatsword
003D5720,Maliketh's Black Blade
003D7E30,Troll's Golden Sword
003DA540,Zweihander
003DCC50,Starscourge Greatsword
003DF360,Royal Greatsword
003E1A70,Godslayer's Greatsword
003E4180,Ruins Greatsword
003E8FA0,Grafted Blade Greatsword
003EB6B0,Troll Knight's Sword
004C4B40,Estoc
004C7250,Cleanrot Knight's Sword
004C9960,Rapier
004CC070,Rogier's Rapier
004CE780,Antspur Rapier
004D0E90,Frozen Needle
004D35A0,Noble's Estoc
005B8D80,Bloody Helice
005BB490,Godskin Stitcher
005BDBA0,Great Épée
005C29C0,Dragon King's Cragblade
006ACFC0,Falchion
006AF6D0,Beastman's Curved Sword
006B1DE0,Shotel
006B44F0,Shamshir
006B6C00,Bandit's Curved Sword
006B9310,Magma Blade
